,Absolute Magnitude,orbit_id,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,ma,rms,Mean Motion,Minimum Orbit Intersection,Jupiter Tisserand Invariant,data_arc,class,pha
3064,20.6,11,0.491784573,4.22324892,296.96081719999995,1351.495447,1.21579014,84.53193844,3.5687562410000004,201.2246109,0.4262,0.266371597,0.233106,3.353,40.0,0.0,0.0
3065,19.4,14,0.5319920570000001,4.160756135,104.8928963,1410.395025,1.151900017,309.9559673,3.770666078,111.0298859,0.48862,0.255247639,0.174087,3.276,1462.0,0.0,0.0
3066,20.5,12,0.485064529,6.610113513,12.47650687,1223.482695,1.15279587,355.1835431,3.324642312,61.57893387,0.34938,0.294242004,0.151998,3.464,3672.0,0.0,0.0
3067,20.3,28,0.7023690359999999,2.68529629,62.88525568,1338.602917,0.707479192,303.3185519,4.04659063,217.8676731,0.53459,0.26893711,0.0117591,3.15,4045.0,1.0,1.0
3068,17.2,18,0.947132313,19.436503,49.16613107,27370.649660000006,0.939683131,332.88451360000005,34.60880336,99.2102222,0.47059,0.013152775,0.00266937,1.411,88.0,1.0,1.0
3069,21.1,26,0.593659843,1.377006764,9.39977659,1410.573544,1.000202529,61.85338831,3.922778933,107.8696115,0.45857,0.255215335,0.0253248,3.221,71.0,1.0,1.0
3070,22.1,24,0.5194540870000001,2.031544612,279.8360421,533.0107782,0.618244029,287.5722268,1.954846335,307.7422594,0.40339,0.675408481,0.00767126,4.894,6925.0,1.0,1.0
3072,25.3,11,0.189523283,2.438015626,282.9649756,374.6589184,0.8243259559999999,276.5882249,1.209849584,249.27401060000003,0.60715,0.960873964,0.00435013,5.983,7.0,1.0,0.0
3073,19.8,44,0.599968731,6.342501849,319.8042921,808.5283046,0.67945152,303.3479653,2.717540525,9.650455741,0.6279600000000001,0.445253429,0.0473341,3.972,11347.0,1.0,1.0
3074,20.8,33,0.272123618,11.55080658,132.861704,555.6971956,0.962832659,50.20506586,1.6827612440000002,102.3588614,0.54205,0.647834833,0.0441545,4.884,5375.0,1.0,1.0
3075,21.1,15,0.564818857,18.21567853,319.73229489999994,1303.124821,1.016081308,178.82985180000003,3.653612331,0.6795338190000001,0.36802,0.276259031,0.0296089,3.279,39.0,1.0,1.0
3076,19.9,46,0.619507878,10.44183409,160.24388280000005,863.5337622999998,0.675252602,247.9000791,2.874111827,235.5388373,0.43478,0.416891633,0.0436415,3.834,6958.0,1.0,1.0
3077,22.2,18,0.476518483,3.797093387,282.8301147,872.3249787999997,0.935307909,133.62834750000002,2.638105397,209.72329590000004,0.4505,0.412690234,0.015373,3.94,4290.0,1.0,0.0
3078,23.0,15,0.13773174300000002,4.459358712,271.62609910000003,459.05907300000007,1.004205274,150.31440869999997,1.325012496,120.2105666,0.48231,0.784212798,0.0303548,5.402,7106.0,1.0,0.0
